Region	Year	Age	Gender	MentalHealthGoodEx	MentalHealthFairPoor	HighLifeStress	MoodDisorder	DailyOccasionalSmoker	DailySmoker	Drinking	Adult150MinActivity	Youth60MinActivity	FruitVeg	StrongBelonging	HighLifeSatisfact	RegularHealthcare	ContactWithDoctor
Ontario	2017/2018	65+	Male	686400	48600	96100	62500	111700	92700	94700	422000	N/A	N/A	748600	848100	1005100	N/A
Ontario	2015/2016	65+	Female 	736900	65500	175600	102500	92000	73600	38800	422700	N/A	325600	806400	943900	1099600	933900
Ontario	2017/2018	65+	Female 	817800	67300	177300	101800	100700	84400	56500	430600	N/A	N/A	886300	1022300	1191700	N/A
WDG	2015/2016	Total	All	166600	19700	59100	26800	44300	32700	42100	136400	10400	76400	166600	218800	223500	165200
WDG	2017/2018	Total	All	165400	26400	63200	31800	38400	24700	52200	130600	8500	N/A	181800	229200	234800	N/A
WDG	2015/2016	Total	Male	83100	6100	27600	8300	25700	18500	29000	69300	4500	25100	77300	108600	106500	73000
WDG	2017/2018	Total	Male	85600	9200	30600	11900	19900	12600	28200	70400	4200	N/A	87300	111200	111300	N/A
WDG	2015/2016	Total	Female 	83500	13500	31500	18500	18600	14100	13100	67200	5900	51300	89300	110200	117100	92300
WDG	2017/2018	Total	Female 	79800	17200	32600	19900	18400	12100	24100	60200	4300	N/A	94500	117900	123500	N/A
WDG	2015/2016	12-17	All	13600	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10400	3800	14400	17100	19800	11300
WDG	2017/2018	12-17	All	14000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8500	N/A	17600	19800	17900	N/A
WDG	2015/2016	12-17	Male	6300	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4500	N/A	6200	7300	9900	5200
WDG	2017/2018	12-17	Male	7700	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4200	N/A	9100	9900	8400	N/A
WDG	2015/2016	12-17	Female 	7200	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5900	2600	8200	9800	9900	6100
WDG	2017/2018	12-17	Female 	6300	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4300	N/A	8500	9900	9500	N/A
WDG	2015/2016	18-34	All	47100	4300	13100	5800	12800	8700	17500	48000	N/A	24600	47200	64400	55600	39100
WDG	2017/2018	18-34	All	45000	9400	17000	6200	11300	4900	20700	49500	N/A	N/A	46500	65900	58900	N/A
WDG	2015/2016	18-34	Male	24400	N/A	5400	N/A	7200	4700	11800	25300	N/A	10600	24200	32600	25600	16200
WDG	2017/2018	18-34	Male	23200	N/A	8500	3100	6600	N/A	11300	26600	N/A	N/A	22400	32300	27000	N/A
WDG	2015/2016	18-34	Female 	22700	3700	7800	3400	5600	4100	5700	22700	N/A	14000	23000	31900	30000	22900
WDG	2017/2018	18-34	Female 	21800	6300	8500	3100	4700	N/A	9500	23000	N/A	N/A	24100	33600	31900	N/A
WDG	2015/2016	35-49	All	31300	9300	20300	9100	11400	8500	9500	36600	N/A	16100	34500	47600	52300	35900
WDG	2017/2018	35-49	All	37700	6100	16800	7100	10900	5200	17400	32400	N/A	N/A	40300	52300	53700	N/A
WDG	2015/2016	35-49	Male	16800	N/A	10000	N/A	7000	4900	7100	18500	N/A	N/A	16100	24700	26100	14300
WDG	2017/2018	35-49	Male	20900	N/A	8300	N/A	5200	N/A	8300	17300	N/A	N/A	17900	26900	26600	N/A
WDG	2015/2016	35-49	Female 	14500	N/A	10300	7000	N/A	N/A	N/A	18000	N/A	12300	18400	22900	26200	21600
WDG	2017/2018	35-49	Female 	16800	3200	8500	5700	5700	N/A	9100	15100	N/A	N/A	22400	25400	27200	N/A
WDG	2015/2016	50-64	All	45100	N/A	17200	3900	14100	10300	12400	37100	N/A	21000	43000	56000	56600	43900
WDG	2017/2018	50-64	All	36900	7600	20000	11100	12600	11600	10100	30200	N/A	N/A	46000	53500	59300	N/A
WDG	2015/2016	50-64	Male	22900	N/A	8000	N/A	7400	5400	7700	18300	N/A	6900	19400	28000	27300	20700
WDG	2017/2018	50-64	Male	20200	N/A	9300	N/A	6300	6000	6500	17600	N/A	N/A	23800	26000	28500	N/A
WDG	2015/2016	50-64	Female 	22100	N/A	9200	3200	6700	5000	4700	18800	N/A	14100	23700	27900	29300	23200
WDG	2017/2018	50-64	Female 	16800	5000	10700	6700	6300	N/A	N/A	12600	N/A	N/A	22200	27500	30800	N/A
WDG	2015/2016	65+	All	29500	N/A	6000	5800	6000	5100	2500	14700	N/A	10900	27500	33700	39300	34900
WDG	2017/2018	65+	All	31800	N/A	6800	6400	3400	2900	4000	18400	N/A	N/A	31400	37600	44900	N/A
WDG	2015/2016	65+	Male	12600	N/A	N/A	N/A	4100	N/A	2000	7100	N/A	N/A	11400	15900	17700	16400
WDG	2017/2018	65+	Male	13600	N/A	4100	N/A	1900	N/A	2100	8800	N/A	N/A	14100	16200	20900	N/A
WDG	2015/2016	65+	Female 	16900	N/A	N/A	N/A	1800	1400	N/A	7600	N/A	8400	16200	17800	21600	18500
WDG	2017/2018	65+	Female 	18200	N/A	2600	3700	1500	1400	N/A	9600	N/A	N/A	17300	21500	24000	N/A
