"Year","Region","Age","Gender","Adult150MinActivity","ContactWithDoctor","Drinking","FruitVeg","HighLifeSatisfact","HighLifeStress","MentalHealthFairPoor","MentalHealthGoodEx","MoodDisorder","RegularHealthcare","StrongBelonging","Youth60MinActivity"
"2015/2016","Ontario","35-49","Male",63.3,68.7,25.5,22.8,93.2,27.9,5.1,76.1,6,86.6,68.9,NA
"2015/2016","Ontario","50-64","All",56.3,79.3,18.9,27.6,90.3,25.5,7.4,69.9,10.5,93.8,71.4,NA
"2015/2016","Ontario","50-64","Female",53.9,83.5,13.5,35.3,90.4,26.6,8.3,68.3,12.5,94.7,70.4,NA
"2015/2016","Ontario","50-64","Male",58.8,75,24.5,19.7,90.2,24.4,6.5,71.5,8.3,92.9,72.3,NA
"2015/2016","Ontario","65+","All",40.8,85.2,6.2,28.1,89.4,13.8,6.2,69.9,7.1,96.1,77.2,NA
"2015/2016","Ontario","65+","Female",37.4,85.2,3.3,31.9,89.9,15.3,6.1,69,8.8,96.5,77.1,NA
"2015/2016","Ontario","65+","Male",44.7,85.2,9.7,23.3,88.8,12,6.3,71.1,5.2,95.5,77.4,NA
"2015/2016","Ontario","Total","All",57.4,73.7,18.2,27.8,92.6,22,6.9,71.1,8.7,89.9,70.9,60
"2015/2016","Ontario","Total","Female",54.1,78.8,13.3,33.5,92.6,23.9,7.9,69.1,10.8,92.5,71.9,50.7
"2015/2016","Ontario","Total","Male",61,68.4,23.3,21.7,92.5,20.1,5.8,73.3,6.5,87.3,69.9,68.5
"2015/2016","WDG","12-17","All",NA,56.8,NA,27,97,NA,NA,79.4,NA,97.6,84.8,59.6
"2015/2016","WDG","12-17","Female",NA,61.9,NA,32.2,100,NA,NA,73.9,NA,98.9,84.5,75.3
"2015/2016","WDG","12-17","Male",NA,51.9,NA,NA,93.3,NA,NA,86.7,NA,96.4,85.3,46.8
"2015/2016","WDG","18-34","All",73.1,60.7,26.4,37.4,97.2,19.8,6.6,71.1,8.8,86.3,71.2,NA
"2015/2016","WDG","18-34","Female",69.8,72.1,17.3,42.9,96.3,23.4,11.2,68.7,10.5,94.4,69.4,NA
"2015/2016","WDG","18-34","Male",76.4,49.7,35.5,32,98.2,16.1,NA,73.5,NA,78.3,72.9,NA
"2015/2016","WDG","35-49","All",65.9,66.4,16.9,29.3,86.2,36.1,16.7,56.6,16.2,96,63.9,NA
"2015/2016","WDG","35-49","Female",65.4,80.3,NA,44.3,81.7,36.9,NA,51.9,25,97,69.1,NA
"2015/2016","WDG","35-49","Male",66.4,52.6,25.4,NA,90.9,35.4,NA,61.3,NA,94.9,58.9,NA
"2015/2016","WDG","50-64","All",63.5,73.5,20.5,36.1,94.8,28.4,NA,76.2,6.4,94.6,73,NA
"2015/2016","WDG","50-64","Female",62.6,76.5,15.4,48.4,93.5,30.3,NA,74,10.6,96.7,79.4,NA
"2015/2016","WDG","50-64","Male",64.4,70.4,25.6,23.8,96.2,26.6,NA,78.4,NA,92.5,66.4,NA
"2015/2016","WDG","65+","All",35.2,86,5.9,30.7,88.9,14.3,NA,78.3,13.7,95.5,73.1,NA
"2015/2016","WDG","65+","Female",33.4,85.4,NA,43,88.4,NA,NA,84.1,NA,98.1,80.9,NA
"2015/2016","WDG","65+","Male",37.3,86.7,10.6,15.6,89.4,NA,NA,71.8,NA,92.4,64.3,NA
"2015/2016","WDG","Total","All",61.6,69.2,17.1,33.4,92.7,24,8.3,70.7,10.9,93.1,71.3,59.6
"2015/2016","WDG","Total","Female",59.5,76.6,10.6,43.9,91.2,25.3,11.2,69.1,14.8,96.6,75,75.3
"2015/2016","WDG","Total","Male",63.8,61.6,23.9,22.5,94.3,22.8,5.3,72.4,6.9,89.5,67.4,46.8
"2017/2018","Canada","12-17","All",NA,NA,3.8,NA,97.8,12.7,6.3,74.9,4.5,86.5,85.2,57.8
"2017/2018","Canada","12-17","Female",NA,NA,4.2,NA,97.3,17.1,8.2,70.7,6,88.3,86.6,51.6
"2017/2018","Canada","12-17","Male",NA,NA,3.5,NA,98.2,8.6,4.5,79,3.1,84.8,84,63.5
"2017/2018","Canada","18-34","All",66.2,NA,29.2,NA,95.1,22.9,9.1,66.3,9.5,74.3,62,NA
"2017/2018","Canada","18-34","Female",61.1,NA,24.2,NA,95.1,24.9,11.1,61.8,12.4,81.2,64.3,NA
"2017/2018","Canada","18-34","Male",71.1,NA,34.2,NA,95.1,20.8,7.1,70.8,6.7,67.6,59.6,NA
"2017/2018","Canada","35-49","All",59.4,NA,23.1,NA,93.2,28.4,7.3,69.2,9.4,83.6,67.2,NA
"2017/2018","Canada","35-49","Female",56.9,NA,18.2,NA,92.8,30,8.2,66.8,11.8,88.2,68.3,NA
"2017/2018","Canada","35-49","Male",61.9,NA,28,NA,93.6,26.8,6.5,71.6,6.9,78.9,66,NA
"2017/2018","Canada","50-64","All",55.1,NA,18.9,NA,91.2,23.9,7.5,69.7,10.1,89.8,68.2,NA
"2017/2018","Canada","50-64","Female",53.1,NA,14.2,NA,91.1,24.2,8,68.5,12.7,91.8,67.8,NA
"2017/2018","Canada","50-64","Male",57.2,NA,23.6,NA,91.4,23.5,7,70.9,7.5,87.8,68.6,NA
"2017/2018","Canada","65+","All",38.9,NA,7.6,NA,90.8,10.9,5.2,71.8,6.8,94,75.9,NA
"2017/2018","Canada","65+","Female",35.2,NA,4.8,NA,90.6,12.4,5.1,71,7.9,94.4,75.6,NA
"2017/2018","Canada","65+","Male",43.2,NA,10.9,NA,90.9,9.1,5.3,72.7,5.5,93.7,76.3,NA
"2017/2018","Canada","Total","All",56,NA,19.3,NA,93.1,21.4,7.4,69.4,8.8,84.9,68.9,57.8
"2017/2018","Canada","Total","Female",52.4,NA,15.1,NA,92.9,22.8,8.3,67,11,88.5,69.8,51.6
"2017/2018","Canada","Total","Male",59.7,NA,23.7,NA,93.4,19.9,6.4,71.9,6.5,81.1,68,63.5
"2017/2018","Ontario","12-17","All",NA,NA,3.3,NA,98,13.7,7.3,71.7,4.7,92.6,84.8,57.7
"2017/2018","Ontario","12-17","Female",NA,NA,4.2,NA,98,18.8,9.9,66.5,6.5,92.8,86.4,50.4
"2017/2018","Ontario","12-17","Male",NA,NA,2.4,NA,98,8.9,4.8,76.7,3,92.4,83.4,64.5
"2017/2018","Ontario","18-34","All",64.9,NA,26.3,NA,95,22.5,9.6,65.4,9.9,82.6,63,NA
"2017/2018","Ontario","18-34","Female",60.2,NA,21.9,NA,95.2,23.9,12.7,61,12.9,87,65.8,NA
"2017/2018","Ontario","18-34","Male",69.5,NA,30.7,NA,94.8,21,6.6,69.9,7,78.1,60.1,NA
"2017/2018","Ontario","35-49","All",58.9,NA,20.9,NA,93.3,27.6,7.4,69.7,9.6,90.1,69.8,NA
"2017/2018","Ontario","35-49","Female",57.4,NA,16.7,NA,92.4,28.5,8.5,68,12.2,92.8,71,NA
"2017/2018","Ontario","35-49","Male",60.5,NA,25.4,NA,94.2,26.6,6.3,71.5,6.9,87.4,68.6,NA
"2017/2018","Ontario","50-64","All",53.2,NA,17.9,NA,91.5,24.9,8.1,69.8,11,93.2,70.1,NA
"2017/2018","Ontario","50-64","Female",52.6,NA,13,NA,91.2,25.4,8.5,69.2,13.1,95,70.2,NA
"2017/2018","Ontario","50-64","Male",53.9,NA,22.8,NA,91.9,24.5,7.8,70.4,8.8,91.4,70.1,NA
"2017/2018","Ontario","65+","All",38,NA,6.6,NA,90.5,12,5.5,71.7,7.1,95.9,79.3,NA
"2017/2018","Ontario","65+","Female",35.5,NA,4.5,NA,90.2,14.3,5.8,71,8.1,95.9,78.4,NA
"2017/2018","Ontario","65+","Male",40.8,NA,9,NA,90.9,9.2,5.1,72.7,5.9,95.9,80.4,NA
"2017/2018","Ontario","Total","All",54.9,NA,17.6,NA,93.2,21.6,7.9,69.1,9.2,90.1,70.8,57.7
"2017/2018","Ontario","Total","Female",52.3,NA,13.9,NA,92.8,23,9.2,66.9,11.4,92.4,71.9,50.4
"2017/2018","Ontario","Total","Male",57.7,NA,21.6,NA,93.5,20.1,6.5,71.4,6.9,87.7,69.7,64.5
"2017/2018","WDG","12-17","All",NA,NA,NA,NA,99.5,NA,NA,70.4,NA,87.9,92.5,49.7
"2017/2018","WDG","12-17","Female",NA,NA,NA,NA,100,NA,NA,63.3,NA,94.1,93.6,48.8
"2017/2018","WDG","12-17","Male",NA,NA,NA,NA,99,NA,NA,77.4,NA,81.8,91.6,50.7
"2017/2018","WDG","18-34","All",73.1,NA,29.4,NA,94.8,24.1,13.5,64.5,8.8,83.5,66.7,NA
"2017/2018","WDG","18-34","Female",70.4,NA,27,NA,96.5,24.3,17.8,62.1,8.9,91,68.7,NA
"2017/2018","WDG","18-34","Male",75.6,NA,31.8,NA,93.1,24,NA,66.9,8.7,76.2,64.6,NA
"2017/2018","WDG","35-49","All",56.8,NA,29.9,NA,92.3,28.9,10.7,66.5,12.2,93.2,73.1,NA
"2017/2018","WDG","35-49","Female",52.6,NA,31.1,NA,89.1,29.1,11.2,58.7,19.5,94.6,78.4,NA
"2017/2018","WDG","35-49","Male",60.9,NA,28.7,NA,95.5,28.7,10.2,74.3,NA,91.9,67.3,NA
"2017/2018","WDG","50-64","All",50,NA,16.2,NA,91.1,32.1,13,62.8,17.7,95.4,78.4,NA
"2017/2018","WDG","50-64","Female",42.9,NA,NA,NA,90,34.5,16.3,54.8,21.3,98.4,73,NA
"2017/2018","WDG","50-64","Male",56.7,NA,20.9,NA,92.3,29.7,NA,71.5,NA,92.5,84.3,NA
"2017/2018","WDG","65+","All",41.1,NA,8.9,NA,90,14.7,NA,75.1,14.1,97.4,74.9,NA
"2017/2018","WDG","65+","Female",39.4,NA,NA,NA,92.3,10.5,NA,77.1,14.6,96,74.6,NA
"2017/2018","WDG","65+","Male",43.1,NA,10.6,NA,87.1,19.6,NA,72.5,NA,99.1,75.3,NA
"2017/2018","WDG","Total","All",56.7,NA,20.3,NA,92.9,24.5,10.7,66.8,12.4,91.4,74.4,49.7
"2017/2018","WDG","Total","Female",52.4,NA,18.4,NA,92.8,25,13.5,62.5,15.2,94.7,74.8,48.8
"2017/2018","WDG","Total","Male",61.1,NA,22.3,NA,93,24,7.7,71.5,9.4,88,73.9,50.7
