Region	Year	Age	Gender	MentalHealthGoodEx	MentalHealthFairPoor	HighLifeStress	MoodDisorder	DailyOccasionalSmoker	DailySmoker	Drinking	Adult150MinActivity	Youth60MinActivity	FruitVeg	StrongBelonging	HighLifeSatisfact	RegularHealthcare	ContactWithDoctor
Ontario	2017/2018	Total	Female	66.9	9.2	23	11.4	12.1	9	13.9	52.3	50.4	N/A	71.9	92.8	92.4	N/A
Ontario	2015/2016	Total	Male 	73.3	5.8	20.1	6.5	19.8	13.9	23.3	61	68.5	21.7	69.9	92.5	87.3	68.4
Ontario	2017/2018	Total	Male 	71.4	6.5	20.1	6.9	18.6	13	21.6	57.7	64.5	N/A	69.7	93.5	87.7	N/A
WDG	2015/2016	12-17	All	79.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	59.6	27	84.8	97	97.6	56.8
WDG	2017/2018	12-17	All	70.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	49.7	N/A	92.5	99.5	87.9	N/A
WDG	2015/2016	12-17	Female	73.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	75.3	32.2	84.5	100	98.9	61.9
WDG	2017/2018	12-17	Female	63.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	48.8	N/A	93.6	100	94.1	N/A
WDG	2015/2016	12-17	Male 	86.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	46.8	N/A	85.3	93.3	96.4	51.9
WDG	2017/2018	12-17	Male 	77.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50.7	N/A	91.6	99	81.8	N/A
WDG	2015/2016	18-34	All	71.1	6.6	19.8	8.8	19.3	13.1	26.4	73.1	N/A	37.4	71.2	97.2	86.3	60.7
WDG	2017/2018	18-34	All	64.5	13.5	24.1	8.8	16	6.9	29.4	73.1	N/A	N/A	66.7	94.8	83.5	N/A
WDG	2015/2016	18-34	Female	68.7	11.2	23.4	10.5	16.9	12.2	17.3	69.8	N/A	42.9	69.4	96.3	94.4	72.1
WDG	2017/2018	18-34	Female	62.1	17.8	24.3	8.9	13.3	N/A	27	70.4	N/A	N/A	68.7	96.5	91	N/A
WDG	2015/2016	18-34	Male 	73.5	N/A	16.1	N/A	21.7	14.1	35.5	76.4	N/A	32	72.9	98.2	78.3	49.7
WDG	2017/2018	18-34	Male 	66.9	N/A	24	8.7	18.6	N/A	31.8	75.6	N/A	N/A	64.6	93.1	76.2	N/A
WDG	2015/2016	35-49	All	56.6	16.7	36.1	16.2	20.3	15.2	16.9	65.9	N/A	29.3	63.9	86.2	96	66.4
WDG	2017/2018	35-49	All	66.5	10.7	28.9	12.2	18.8	9.1	29.9	56.8	N/A	N/A	73.1	92.3	93.2	N/A
WDG	2015/2016	35-49	Female	51.9	N/A	36.9	25	N/A	N/A	N/A	65.4	N/A	44.3	69.1	81.7	97	80.3
WDG	2017/2018	35-49	Female	58.7	11.2	29.1	19.5	19.6	N/A	31.1	52.6	N/A	N/A	78.4	89.1	94.6	N/A
WDG	2015/2016	35-49	Male 	61.3	N/A	35.4	N/A	24.8	17.3	25.4	66.4	N/A	N/A	58.9	90.9	94.9	52.6
WDG	2017/2018	35-49	Male 	74.3	10.2	28.7	N/A	18	N/A	28.7	60.9	N/A	N/A	67.3	95.5	91.9	N/A
WDG	2015/2016	50-64	All	76.2	N/A	28.4	6.4	23.1	17	20.5	63.5	N/A	36.1	73	94.8	94.6	73.5
WDG	2017/2018	50-64	All	62.8	13	32.1	17.7	20.1	18.5	16.2	50	N/A	N/A	78.4	91.1	95.4	N/A
WDG	2015/2016	50-64	Female	74	N/A	30.3	10.6	21.8	16.2	15.4	62.6	N/A	48.4	79.4	93.5	96.7	76.5
WDG	2017/2018	50-64	Female	54.8	16.3	34.5	21.3	20.2	N/A	N/A	42.9	N/A	N/A	73	90	98.4	N/A
WDG	2015/2016	50-64	Male 	78.4	N/A	26.6	N/A	24.4	17.7	25.6	64.4	N/A	23.8	66.4	96.2	92.5	70.4
WDG	2017/2018	50-64	Male 	71.5	N/A	29.7	N/A	20.1	19.1	20.9	56.7	N/A	N/A	84.3	92.3	92.5	N/A
WDG	2015/2016	65+	All	78.3	N/A	14.3	13.7	14.4	12.3	5.9	35.2	N/A	30.7	73.1	88.9	95.5	86
WDG	2017/2018	65+	All	75.1	N/A	14.7	14.1	7.5	6.4	8.9	41.1	N/A	N/A	74.9	90	97.4	N/A
WDG	2015/2016	65+	Female	84.1	N/A	N/A	N/A	8.3	6.5	N/A	33.4	N/A	43	80.9	88.4	98.1	85.4
WDG	2017/2018	65+	Female	77.1	N/A	10.5	14.6	6.3	5.7	N/A	39.4	N/A	N/A	74.6	92.3	96	N/A
WDG	2015/2016	65+	Male 	71.8	N/A	N/A	N/A	21.5	N/A	10.6	37.3	N/A	15.6	64.3	89.4	92.4	86.7
WDG	2017/2018	65+	Male 	72.5	N/A	19.6	N/A	8.9	N/A	10.6	43.1	N/A	N/A	75.3	87.1	99.1	N/A
WDG	2015/2016	Total	All	70.7	8.3	24	10.9	18.1	13.3	17.1	61.6	59.6	33.4	71.3	92.7	93.1	69.2
WDG	2017/2018	Total	All	66.8	10.7	24.5	12.4	14.9	9.6	20.3	56.7	49.7	N/A	74.4	92.9	91.4	N/A
WDG	2015/2016	Total	Female	69.1	11.2	25.3	14.8	15	11.4	10.6	59.5	75.3	43.9	75	91.2	96.6	76.6
WDG	2017/2018	Total	Female	62.5	13.5	25	15.2	14.1	9.2	18.4	52.4	48.8	N/A	74.8	92.8	94.7	N/A
WDG	2015/2016	Total	Male 	72.4	5.3	22.8	6.9	21.2	15.3	23.9	63.8	46.8	22.5	67.4	94.3	89.5	61.6
WDG	2017/2018	Total	Male 	71.5	7.7	24	9.4	15.7	9.9	22.3	61.1	50.7	N/A	73.9	93	88	N/A
