"Year","Region","Age","Gender","Adult150MinActivity","ContactWithDoctor","Drinking","FruitVeg","HighLifeSatisfact","HighLifeStress","MentalHealthFairPoor","MentalHealthGoodEx","MoodDisorder","RegularHealthcare","StrongBelonging","Youth60MinActivity"
"2017/2018","Ontario","18-34","Female",60200,NA,21900,NA,95200,23900,12700,61000,12900,87000,65800,NA
"2017/2018","Ontario","18-34","Male",69500,NA,30700,NA,94800,21000,6600,69900,7000,78100,60100,NA
"2017/2018","Ontario","35-49","All",58900,NA,20900,NA,93300,27600,7400,69700,9600,90100,69800,NA
"2017/2018","Ontario","35-49","Female",57400,NA,16700,NA,92400,28500,8500,68000,12200,92800,71000,NA
"2017/2018","Ontario","35-49","Male",60500,NA,25400,NA,94200,26600,6300,71500,6900,87400,68600,NA
"2017/2018","Ontario","50-64","All",53200,NA,17900,NA,91500,24900,8100,69800,11000,93200,70100,NA
"2017/2018","Ontario","50-64","Female",52600,NA,13000,NA,91200,25400,8500,69200,13100,95000,70200,NA
"2017/2018","Ontario","50-64","Male",53900,NA,22800,NA,91900,24500,7800,70400,8800,91400,70100,NA
"2017/2018","Ontario","65+","All",38000,NA,6600,NA,90500,12000,5500,71700,7100,95900,79300,NA
"2017/2018","Ontario","65+","Female",35500,NA,4500,NA,90200,14300,5800,71000,8100,95900,78400,NA
"2017/2018","Ontario","65+","Male",40800,NA,9000,NA,90900,9200,5100,72700,5900,95900,80400,NA
"2017/2018","Ontario","Total","All",54900,NA,17600,NA,93200,21600,7900,69100,9200,90100,70800,57700
"2017/2018","Ontario","Total","Female",52300,NA,13900,NA,92800,23000,9200,66900,11400,92400,71900,50400
"2017/2018","Ontario","Total","Male",57700,NA,21600,NA,93500,20100,6500,71400,6900,87700,69700,64500
"2017/2018","WDG","12-17","All",NA,NA,NA,NA,99500,NA,NA,70400,NA,87900,92500,49700
"2017/2018","WDG","12-17","Female",NA,NA,NA,NA,1e+05,NA,NA,63300,NA,94100,93600,48800
"2017/2018","WDG","12-17","Male",NA,NA,NA,NA,99000,NA,NA,77400,NA,81800,91600,50700
"2017/2018","WDG","18-34","All",73100,NA,29400,NA,94800,24100,13500,64500,8800,83500,66700,NA
"2017/2018","WDG","18-34","Female",70400,NA,27000,NA,96500,24300,17800,62100,8900,91000,68700,NA
"2017/2018","WDG","18-34","Male",75600,NA,31800,NA,93100,24000,NA,66900,8700,76200,64600,NA
"2017/2018","WDG","35-49","All",56800,NA,29900,NA,92300,28900,10700,66500,12200,93200,73100,NA
"2017/2018","WDG","35-49","Female",52600,NA,31100,NA,89100,29100,11200,58700,19500,94600,78400,NA
"2017/2018","WDG","35-49","Male",60900,NA,28700,NA,95500,28700,10200,74300,NA,91900,67300,NA
"2017/2018","WDG","50-64","All",50000,NA,16200,NA,91100,32100,13000,62800,17700,95400,78400,NA
"2017/2018","WDG","50-64","Female",42900,NA,NA,NA,90000,34500,16300,54800,21300,98400,73000,NA
"2017/2018","WDG","50-64","Male",56700,NA,20900,NA,92300,29700,NA,71500,NA,92500,84300,NA
"2017/2018","WDG","65+","All",41100,NA,8900,NA,90000,14700,NA,75100,14100,97400,74900,NA
"2017/2018","WDG","65+","Female",39400,NA,NA,NA,92300,10500,NA,77100,14600,96000,74600,NA
"2017/2018","WDG","65+","Male",43100,NA,10600,NA,87100,19600,NA,72500,NA,99100,75300,NA
"2017/2018","WDG","Total","All",56700,NA,20300,NA,92900,24500,10700,66800,12400,91400,74400,49700
"2017/2018","WDG","Total","Female",52400,NA,18400,NA,92800,25000,13500,62500,15200,94700,74800,48800
"2017/2018","WDG","Total","Male",61100,NA,22300,NA,93000,24000,7700,71500,9400,88000,73900,50700
